Country,Code,Year,avg_years_of_schooling,Both sexes,Male,Female,Continent,suicides_per_100k,gdp
Albania,ALB,2000,8.8,106,133,76,Europe,30.7,"3,632,043,908"
Chile,CHL,2000,8.8,103,137,69,South America,149.18,"77,860,932,152"
Netherlands,NLD,2000,10.8,83,99,67,Europe,118.99,"412,807,259,996"
New Zealand,NZL,2000,11.6,86,105,67,Oceania,157.54,"52,622,842,840"
Canada,CAN,2000,11.0,81,100,61,North America,139.0,"742,293,448,253"
Norway,NOR,2000,12.0,84,106,61,Europe,150.32999999999998,"171,315,639,983"
Bulgaria,BGR,2000,9.5,163,225,99,Europe,259.21999999999997,"13,153,016,531"
Panama,PAN,2000,8.5,120,152,86,North America,85.58,"12,304,115,000"
Paraguay,PRY,2000,5.9,171,195,147,South America,42.78,"8,195,993,231"
Brazil,BRA,2000,5.6,184,244,122,South America,68.23,"655,420,645,477"
Philippines,PHL,2000,7.6,213,266,157,Asia,32.21,"81,026,300,311"
Poland,POL,2000,11.1,152,217,86,Europe,191.01000000000002,"171,885,598,583"
Portugal,PRT,2000,6.8,110,154,66,Europe,85.88,"118,358,489,958"
Belize,BLZ,2000,10.1,198,245,149,North America,160.8,"832,072,450"
Mexico,MEX,2000,6.7,138,175,102,North America,54.89,"707,906,744,575"
Romania,ROU,2000,9.9,175,240,108,Europe,159.19,"37,438,527,800"
Saint Lucia,LCA,2000,7.0,186,225,147,North America,197.86,"784,159,229"
Serbia,SRB,2000,9.4,141,185,95,Europe,324.16,"6,540,247,190"
Belarus,BLR,2000,8.9,247,361,128,Europe,447.3,"12,736,856,828"
Barbados,BRB,2000,9.0,128,159,100,North America,37.13,"3,121,500,000"
Singapore,SGP,2000,8.9,79,100,58,Asia,164.34,"95,833,932,715"
Slovakia,SVK,2000,10.3,147,214,79,Europe,180.07999999999998,"29,114,875,622"
Bahrain,BHR,2000,8.3,101,112,81,Asia,32.730000000000004,"9,062,906,915"
Slovenia,SVN,2000,11.6,122,167,74,Europe,404.12,"20,342,201,356"
Bahamas,BHS,2000,10.9,202,255,150,North America,40.66,"8,076,470,000"
South Africa,ZAF,2000,8.8,362,414,311,Africa,9.54,"136,361,854,808"
Azerbaijan,AZE,2000,10.6,161,217,107,Asia,14.41,"5,272,617,196"
Spain,ESP,2000,8.4,84,120,48,Europe,122.21000000000001,"595,402,616,547"
Sri Lanka,LKA,2000,10.0,171,238,99,Asia,427.29,"16,330,814,180"
Belgium,BEL,2000,10.0,99,130,68,Europe,267.8,"237,904,919,845"
Austria,AUT,2000,9.0,94,124,62,Europe,289.77,"196,799,778,883"
Colombia,COL,2000,6.5,171,237,104,South America,89.78,"99,886,577,331"
Malta,MLT,2000,8.1,70,88,51,Europe,78.05,"4,306,192,436"
Germany,DEU,2000,11.2,95,125,64,Europe,185.55,"1,949,953,934,034"
France,FRA,2000,9.8,99,135,61,Europe,257.23,"1,362,248,940,483"
Greece,GRC,2000,8.6,82,115,48,Europe,44.86,"130,133,845,771"
Finland,FIN,2000,9.3,104,143,63,Europe,265.65,"125,539,893,127"
Guatemala,GTM,2000,3.7,220,282,161,North America,27.419999999999998,"19,288,827,159"
Hungary,HUN,2000,10.2,193,271,114,Europe,464.56,"47,310,623,887"
Estonia,EST,2000,11.7,216,312,120,Europe,364.64,"5,685,774,809"
Iceland,ISL,2000,9.4,76,95,57,Europe,207.99,"8,927,140,438"
Ireland,IRL,2000,10.8,93,117,68,Europe,142.36,"99,853,528,653"
