Country,Code,Year,avg_years_of_schooling,Both sexes,Male,Female,Continent,suicides_per_100k,gdp
Uzbekistan,UZB,2000,9.1,183,230,135,Asia,120.31,632
Brazil,BRA,2000,5.6,184,244,122,South America,68.23,4156
Maldives,MDV,2000,3.0,142,155,129,Asia,0.0,2524
Malta,MLT,2000,8.1,70,88,51,Europe,78.05,11873
Mauritius,MUS,2000,6.2,172,221,121,Africa,140.82,4339
Belize,BLZ,2000,10.1,198,245,149,North America,160.8,3960
Mexico,MEX,2000,6.7,138,175,102,North America,54.89,7892
Netherlands,NLD,2000,10.8,83,99,67,Europe,118.99,27644
Belgium,BEL,2000,10.0,99,130,68,Europe,267.8,24592
New Zealand,NZL,2000,11.6,86,105,67,Oceania,157.54,14725
Norway,NOR,2000,12.0,84,106,61,Europe,150.32999999999998,41099
Belarus,BLR,2000,8.9,247,361,128,Europe,447.3,1335
Panama,PAN,2000,8.5,120,152,86,North America,85.58,4577
Luxembourg,LUX,2000,10.3,90,113,65,Europe,222.64,51841
Paraguay,PRY,2000,5.9,171,195,147,South America,42.78,1782
Philippines,PHL,2000,7.6,213,266,157,Asia,32.21,1205
Poland,POL,2000,11.1,152,217,86,Europe,191.01000000000002,4744
Bahrain,BHR,2000,8.3,101,112,81,Asia,32.730000000000004,15345
Portugal,PRT,2000,6.8,110,154,66,Europe,85.88,12152
Romania,ROU,2000,9.9,175,240,108,Europe,159.19,1758
Bahamas,BHS,2000,10.9,202,255,150,North America,40.66,29942
Saint Lucia,LCA,2000,7.0,186,225,147,North America,197.86,5557
Serbia,SRB,2000,9.4,141,185,95,Europe,324.16,915
Azerbaijan,AZE,2000,10.6,161,217,107,Asia,14.41,711
Austria,AUT,2000,9.0,94,124,62,Europe,289.77,25922
Singapore,SGP,2000,8.9,79,100,58,Asia,164.34,31446
Slovakia,SVK,2000,10.3,147,214,79,Europe,180.07999999999998,5696
Barbados,BRB,2000,9.0,128,159,100,North America,37.13,12430
Lithuania,LTU,2000,10.7,200,297,105,Europe,571.8000000000001,3481
Bulgaria,BGR,2000,9.5,163,225,99,Europe,259.21999999999997,1680
Latvia,LVA,2000,9.5,217,320,116,Europe,453.2,3494
El Salvador,SLV,2000,5.2,218,305,135,North America,110.55,2303
Estonia,EST,2000,11.7,216,312,120,Europe,364.64,4262
Denmark,DNK,2000,10.7,100,121,77,Europe,181.07,32841
Finland,FIN,2000,9.3,104,143,63,Europe,265.65,25716
France,FRA,2000,9.8,99,135,61,Europe,257.23,24648
Cyprus,CYP,2000,10.0,80,102,56,Asia,8.36,11635
Georgia,GEO,2000,11.7,129,191,71,Asia,46.64,734
Germany,DEU,2000,11.2,95,125,64,Europe,185.55,24922
Greece,GRC,2000,8.6,82,115,48,Europe,44.86,12509
Cuba,CUB,2000,9.6,121,144,97,North America,272.77,2940
Guatemala,GTM,2000,3.7,220,282,161,North America,27.419999999999998,1977
Croatia,HRV,2000,9.4,133,188,77,Europe,322.75,5288
Hungary,HUN,2000,10.2,193,271,114,Europe,464.56,4966
Iceland,ISL,2000,9.4,76,95,57,Europe,207.99,34372
Costa Rica,CRI,2000,8.0,100,129,70,North America,88.29,4233
Ireland,IRL,2000,10.8,93,117,68,Europe,142.36,28340
Israel,ISR,2000,12.0,80,105,56,Asia,108.56,23451
Colombia,COL,2000,6.5,171,237,104,South America,89.78,2755
Italy,ITA,2000,8.6,75,100,50,Europe,99.22,21027
Jamaica,JAM,2000,7.3,173,216,129,North America,1.16,3795
Japan,JPN,2000,10.7,72,96,47,Asia,278.52,40813
Chile,CHL,2000,8.8,103,137,69,South America,149.18,5584
Kazakhstan,KAZ,2000,10.5,287,406,167,Asia,426.05,1328
Kiribati,KIR,2000,6.8,222,261,184,Oceania,0.0,928
Kuwait,KWT,2000,6.2,94,106,71,Asia,15.23,19112
Canada,CAN,2000,11.0,81,100,61,North America,139.0,25589
Kyrgyzstan,KGZ,2000,9.8,228,306,144,Asia,182.63,313
Australia,AUS,2000,11.9,77,97,56,Oceania,157.82,23219
Slovenia,SVN,2000,11.6,122,167,74,Europe,404.12,10783
Ecuador,ECU,2000,7.0,160,201,117,South America,57.17,1650
Argentina,ARG,2000,9.1,139,183,94,South America,131.39,8462
Ukraine,UKR,2000,10.7,258,374,137,Europe,377.19,663
Armenia,ARM,2000,10.8,143,204,91,Asia,34.300000000000004,530
Albania,ALB,2000,8.8,106,133,76,Europe,30.7,1299
Antigua and Barbuda,ATG,2000,7.0,157,183,132,North America,39.97,11021
Uruguay,URY,2000,8.0,134,180,89,South America,274.27,7483
Trinidad and Tobago,TTO,2000,9.2,202,248,153,North America,198.32,6920
Sri Lanka,LKA,2000,10.0,171,238,99,Asia,427.29,953
Sweden,SWE,2000,11.4,72,87,56,Europe,162.5,30896
Thailand,THA,2000,6.1,204,265,139,Asia,106.1,2169
South Africa,ZAF,2000,8.8,362,414,311,Africa,9.54,3361
Switzerland,CHE,2000,11.4,78,100,54,Europe,266.2,39952
Spain,ESP,2000,8.4,84,120,48,Europe,122.21000000000001,15538
Ireland,IRL,2001,11.0,88,110,64,Europe,148.97,30536
Belarus,BLR,2001,9.0,255,372,131,Europe,419.65,1299
Ukraine,UKR,2001,10.4,254,368,136,Europe,348.14,812
Bahrain,BHR,2001,8.4,98,109,81,Asia,30.66,14383
Panama,PAN,2001,8.6,120,153,86,North America,86.77,4558
Costa Rica,CRI,2001,8.0,101,129,73,North America,76.03,4412
Jamaica,JAM,2001,7.5,175,217,130,North America,2.8,3838
Uzbekistan,UZB,2001,9.2,177,223,130,Asia,115.92,513
Trinidad and Tobago,TTO,2001,9.3,204,253,153,North America,205.33,7458
Colombia,COL,2001,6.5,170,235,103,South America,88.27,2662
Barbados,BRB,2001,9.0,127,157,99,North America,8.65,12348
Japan,JPN,2001,10.8,70,94,46,Asia,267.16,35843
Sri Lanka,LKA,2001,10.2,158,222,93,Asia,358.06,912
Italy,ITA,2001,8.7,73,98,49,Europe,95.87,21392
Israel,ISR,2001,12.1,79,103,56,Asia,108.23,22623
Philippines,PHL,2001,7.7,215,269,159,Asia,27.08,1109
Paraguay,PRY,2001,6.2,169,191,146,South America,56.52,1630
Chile,CHL,2001,9.0,106,140,71,South America,147.58,5020
Lithuania,LTU,2001,10.9,214,317,111,Europe,568.98,3719
Norway,NOR,2001,12.1,81,101,60,Europe,154.29,41281
Malta,MLT,2001,8.2,69,86,52,Europe,85.28999999999999,11691
Brazil,BRA,2001,5.8,180,240,119,South America,73.49,3492
Switzerland,CHE,2001,11.6,75,96,52,Europe,261.69,40582
Luxembourg,LUX,2001,10.5,90,114,65,Europe,239.82,51391
Mauritius,MUS,2001,6.4,172,223,119,Africa,121.83999999999999,4244
South Africa,ZAF,2001,7.5,387,436,340,Africa,12.43,2953
Belize,BLZ,2001,10.1,203,252,152,North America,151.7,4013
Ecuador,ECU,2001,7.0,154,192,115,South America,67.24,2160
Bulgaria,BGR,2001,9.9,159,223,95,Europe,244.62,1854
Mexico,MEX,2001,6.8,135,170,101,North America,63.3,8311
Latvia,LVA,2001,10.0,229,335,123,Europe,383.49,3724
Kyrgyzstan,KGZ,2001,9.9,219,298,137,Asia,193.29999999999998,345
Netherlands,NLD,2001,11.0,82,97,66,Europe,116.3,28366
Canada,CAN,2001,11.2,79,99,59,North America,137.43,25165
Argentina,ARG,2001,9.1,138,181,94,South America,143.56,7900
Belgium,BEL,2001,10.2,98,128,68,Europe,261.21999999999997,24494
Kuwait,KWT,2001,6.2,92,105,70,Asia,9.13,17116
Kiribati,KIR,2001,6.9,219,258,182,Oceania,0.0,854
New Zealand,NZL,2001,11.6,83,101,64,Oceania,179.9,14968
Antigua and Barbuda,ATG,2001,8.9,154,179,131,North America,19.45,10468
Kazakhstan,KAZ,2001,10.7,283,398,166,Asia,422.49,1608
Sweden,SWE,2001,11.5,72,88,55,Europe,167.49,28429
Iceland,ISL,2001,9.6,73,90,56,Europe,163.06,30850
Poland,POL,2001,11.1,147,210,83,Europe,180.65,5249
Maldives,MDV,2001,3.1,135,151,119,Asia,110.49,3406
Armenia,ARM,2001,10.7,143,202,92,Asia,29.78,587
Greece,GRC,2001,8.8,81,114,47,Europe,38.81,13043
Albania,ALB,2001,8.7,100,125,73,Europe,50.620000000000005,1451
Slovakia,SVK,2001,10.1,145,208,81,Europe,171.88,6020
Portugal,PRT,2001,6.9,109,153,65,Europe,115.73,12391
Serbia,SRB,2001,9.6,134,176,92,Europe,297.0,1718
Cuba,CUB,2001,9.7,119,141,97,North America,244.51,3037
France,FRA,2001,10.0,99,136,61,Europe,239.94,24796
Germany,DEU,2001,11.7,92,120,62,Europe,185.78,24874
Finland,FIN,2001,9.4,99,137,59,Europe,267.19,26383
Saint Lucia,LCA,2001,7.1,181,221,142,North America,59.08,5195
Denmark,DNK,2001,11.4,100,120,78,Europe,186.17,32837
Estonia,EST,2001,11.8,224,325,121,Europe,371.68,4711
Guatemala,GTM,2001,3.8,214,283,149,North America,30.59,1867
Fiji,FJI,2001,9.5,221,265,174,Oceania,54.95,2307
Australia,AUS,2001,11.9,74,93,53,Oceania,158.79,20860
Austria,AUT,2001,9.2,90,119,59,Europe,261.91,25848
Qatar,QAT,2001,8.0,73,77,65,Asia,27.3,32510
Uruguay,URY,2001,8.0,127,168,87,South America,236.12,6827
Hungary,HUN,2001,10.3,185,260,111,Europe,408.98,5546
Seychelles,SYC,2001,7.5,187,256,105,Africa,87.57,8257
Singapore,SGP,2001,9.2,77,97,56,Asia,167.8,28774
Guyana,GUY,2001,7.8,273,315,229,South America,380.76,1054
Slovenia,SVN,2001,11.5,123,170,73,Europe,423.4,10979
